[2025-03-13 07:15:04,765][__main__][INFO] - Determined number of UEs: 2
[2025-03-13 07:15:05,135][__main__][INFO] - Computed throughput reward (raw): 2.75
[2025-03-13 07:15:05,136][__main__][INFO] - Computed throughput reward (raw): 2.75
[2025-03-13 07:15:05,136][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,137][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,138][__main__][INFO] - Computed throughput reward (raw): 2.35
[2025-03-13 07:15:05,139][__main__][INFO] - Computed throughput reward (raw): 2.35
[2025-03-13 07:15:05,140][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,141][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,142][__main__][INFO] - Computed throughput reward (raw): 2.75
[2025-03-13 07:15:05,143][__main__][INFO] - Computed throughput reward (raw): 2.75
[2025-03-13 07:15:05,144][__main__][INFO] - Computed throughput reward (raw): 2.96
[2025-03-13 07:15:05,145][__main__][INFO] - Computed throughput reward (raw): 2.96
[2025-03-13 07:15:05,146][__main__][INFO] - Computed throughput reward (raw): 3.05
[2025-03-13 07:15:05,147][__main__][INFO] - Computed throughput reward (raw): 3.05
[2025-03-13 07:15:05,149][__main__][INFO] - Computed throughput reward (raw): 3.36
[2025-03-13 07:15:05,150][__main__][INFO] - Computed throughput reward (raw): 3.36
[2025-03-13 07:15:05,151][__main__][INFO] - Computed throughput reward (raw): 3.53
[2025-03-13 07:15:05,152][__main__][INFO] - Computed throughput reward (raw): 3.53
[2025-03-13 07:15:05,153][__main__][INFO] - Computed throughput reward (raw): 3.37
[2025-03-13 07:15:05,154][__main__][INFO] - Computed throughput reward (raw): 3.37
[2025-03-13 07:15:05,155][__main__][INFO] - Computed throughput reward (raw): 3.03
[2025-03-13 07:15:05,156][__main__][INFO] - Computed throughput reward (raw): 3.03
[2025-03-13 07:15:05,157][__main__][INFO] - Computed throughput reward (raw): 2.94
[2025-03-13 07:15:05,158][__main__][INFO] - Computed throughput reward (raw): 2.94
[2025-03-13 07:15:05,159][__main__][INFO] - Computed throughput reward (raw): 2.75
[2025-03-13 07:15:05,160][__main__][INFO] - Computed throughput reward (raw): 2.75
[2025-03-13 07:15:05,161][__main__][INFO] - Computed throughput reward (raw): 2.69
[2025-03-13 07:15:05,162][__main__][INFO] - Computed throughput reward (raw): 2.69
[2025-03-13 07:15:05,163][__main__][INFO] - Computed throughput reward (raw): 2.50
[2025-03-13 07:15:05,164][__main__][INFO] - Computed throughput reward (raw): 2.50
[2025-03-13 07:15:05,165][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,166][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,167][__main__][INFO] - Computed throughput reward (raw): 2.61
[2025-03-13 07:15:05,168][__main__][INFO] - Computed throughput reward (raw): 2.61
[2025-03-13 07:15:05,169][__main__][INFO] - Computed throughput reward (raw): 2.95
[2025-03-13 07:15:05,170][__main__][INFO] - Computed throughput reward (raw): 2.95
[2025-03-13 07:15:05,171][__main__][INFO] - Computed throughput reward (raw): 3.06
[2025-03-13 07:15:05,172][__main__][INFO] - Computed throughput reward (raw): 3.06
[2025-03-13 07:15:05,173][__main__][INFO] - Computed throughput reward (raw): 3.37
[2025-03-13 07:15:05,174][__main__][INFO] - Computed throughput reward (raw): 3.37
[2025-03-13 07:15:05,176][__main__][INFO] - Computed throughput reward (raw): 3.55
[2025-03-13 07:15:05,176][__main__][INFO] - Computed throughput reward (raw): 3.55
[2025-03-13 07:15:05,178][__main__][INFO] - Computed throughput reward (raw): 3.36
[2025-03-13 07:15:05,179][__main__][INFO] - Computed throughput reward (raw): 3.36
[2025-03-13 07:15:05,180][__main__][INFO] - Computed throughput reward (raw): 3.03
[2025-03-13 07:15:05,181][__main__][INFO] - Computed throughput reward (raw): 3.03
[2025-03-13 07:15:05,182][__main__][INFO] - Computed throughput reward (raw): 2.96
[2025-03-13 07:15:05,183][__main__][INFO] - Computed throughput reward (raw): 2.96
[2025-03-13 07:15:05,184][__main__][INFO] - Computed throughput reward (raw): 2.72
[2025-03-13 07:15:05,185][__main__][INFO] - Computed throughput reward (raw): 2.72
[2025-03-13 07:15:05,186][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,187][__main__][INFO] - Computed throughput reward (raw): 2.67
[2025-03-13 07:15:05,188][__main__][INFO] - Computed throughput reward (raw): 2.49
[2025-03-13 07:15:05,189][__main__][INFO] - Computed throughput reward (raw): 2.49
[2025-03-13 07:15:05,190][__main__][INFO] - Computed throughput reward (raw): 2.69
[2025-03-13 07:15:05,191][__main__][INFO] - Computed throughput reward (raw): 2.69
[2025-03-13 07:15:05,192][__main__][INFO] - Computed throughput reward (raw): 2.75
[2025-03-13 07:15:05,193][__main__][INFO] - Computed throughput reward (raw): 2.75
[2025-03-13 07:15:05,194][__main__][INFO] - Computed throughput reward (raw): 2.95
[2025-03-13 07:15:05,195][__main__][INFO] - Computed throughput reward (raw): 2.95
[2025-03-13 07:15:05,196][__main__][INFO] - Computed throughput reward (raw): 2.91
[2025-03-13 07:15:05,197][__main__][INFO] - Computed throughput reward (raw): 2.91
[2025-03-13 07:15:05,198][__main__][INFO] - Computed throughput reward (raw): 3.36
[2025-03-13 07:15:05,199][__main__][INFO] - Computed throughput reward (raw): 3.36
[2025-03-13 07:15:05,200][__main__][INFO] - Computed throughput reward (raw): 3.56
[2025-03-13 07:15:05,201][__main__][INFO] - Computed throughput reward (raw): 3.56
[2025-03-13 07:15:05,202][__main__][INFO] - Computed throughput reward (raw): 3.37
[2025-03-13 07:15:05,203][__main__][INFO] - Computed throughput reward (raw): 3.37
[2025-03-13 07:15:05,204][__main__][INFO] - Computed throughput reward (raw): 3.05
[2025-03-13 07:15:05,205][__main__][INFO] - Computed throughput reward (raw): 3.05
